Item #,Item Name,Category,Room / Area,Quantity,Suggested Price,Price Number,Extended Ask,Status,OBO?,Featured?,Photo Count,Main Photo,Description,Notes,Buyer / Sold To,Final Sold Price,Pickup Status
1,Portable Cassette Recorder,Electronics,Electronics,1,$10 OBO,10,10,Available,Yes,No,1,assets/items/img_0715.jpg,Portable cassette recorder,Automatic stop label visible | Function should be confirmed in person,,,
2,Ceramic Chicken / Rooster Decor,Decor,Decor,1,$15 OBO,15,15,Available,Yes,No,2,assets/items/img_0712.jpg,Kitchen-style ceramic chicken/rooster decor,White chicken and rooster photos included | Good kitchen decor piece,,,
3,DVD Player,Electronics,Electronics,1,$10 OBO,10,10,Available,Yes,No,3,assets/items/img_0714.jpg,Black DVD player,Function/cables should be confirmed in person | Good low-cost media add-on,,,
4,Gray Felt Bag,Accessories,Accessories,1,$10 OBO,10,10,Available,Yes,No,2,assets/items/img_0722.jpg,Gray felt bag shown from front and back.,Front and back photos included | Inspect condition in person,,,
5,Red Quilted Bag,Accessories,Accessories,1,$10 OBO,10,10,Available,Yes,No,1,assets/items/img_0721.jpg,Red quilted bag with gray/faux-fur trim,Quilted red bag with gray/faux-fur trim | Inspect condition in person,,,
6,Vizio Sound Bar,Electronics,Electronics,1,$25 OBO,25,25,Available,Yes,Yes,5,assets/items/img_0038.jpg,"Vizio sound bar with multiple detail photos. A compact sound bar for a TV, media room, office, or secondary audio setup.",Vizio branding visible | Buyer should confirm cables/accessories in person,,,
7,Dark Wood Bed Frame,Bedroom,Bedroom,1,$275 OBO,275,275,Available,Yes,No,3,assets/items/img_0535.jpg,Dark wood bed frame with carved posts and arched headboard/footboard styling. Traditional bedroom piece with substantial presence.,Dark wood frame | Carved post details | Confirm size in person,,,
8,Ornate King Bedroom Suite,Bedroom,Primary Bedroom,1,$800 OBO,800,800,Available,Yes,Yes,8,assets/items/img_0491.jpg,"Large coordinated king bedroom suite with carved wood styling, upholstered/nailhead headboard detail, matching dresser and bedside storage. Best for a buyer furnishing a full room at once.",King bed suite; corrected from earlier queen label | Suggested price is for the grouped suite; individual offers considered | Buyer pickup required; bring loading help,,,
9,Ornate Marble-Top Nightstand,Bedroom,Bedroom,1,$125 OBO,125,125,Available,Yes,No,2,assets/items/img_0567.jpg,Dark ornate nightstand or side table with marble-look top and drawer/storage detail. Coordinates well with traditional furniture.,Marble-look top | Drawer shown open | Carved dark styling,,,
10,White Wicker Vanity / Nightstand with Mirror,Bedroom,Bedroom,1,$175 OBO,175,175,Available,Yes,No,6,assets/items/img_0536.jpg,"White wicker-style vanity or nightstand with drawers, glass-like top detail, and matching mirror. Light coastal/cottage style.",Drawer storage shown | Mirror included in photos | Good guest room or vanity piece,,,
11,Wood Bed Frame - Green Room,Bedroom,Bedroom,1,$225 OBO,225,225,Available,Yes,No,3,assets/items/img_0543.jpg,Wood bed frame with turned posts and curved headboard in a warm finish. Straightforward traditional bedroom furniture.,Turned post details | Curved headboard | Buyer pickup required,,,
12,Wood Dresser / Storage Chest,Bedroom,Bedroom,1,$175 OBO,175,175,Available,Yes,No,1,assets/items/img_0660.jpg,Wood dresser/storage chest shown with decorative items. Useful bedroom storage piece with traditional styling.,Dresser/storage piece | Decor on top not automatically included | Buyer pickup required,,,
13,Carved Upholstered Chaise Lounge,Living Room,Living Room,1,$225 OBO,225,225,Available,Yes,Yes,2,assets/items/img_0499.jpg,"Decorative chaise lounge with carved wood frame, rolled end, and patterned upholstery. Strong statement piece for a sitting room, bedroom, or entry space.",Traditional carved frame | Patterned fabric upholstery | Priced to invite offers,,,
14,Gray Sectional Sofa with Ottoman,Living Room,Living Room,1,$350 OBO,350,350,Available,Yes,Yes,4,assets/items/img_0528.jpg,"Gray sectional sofa with chaise-style section and matching ottoman. Casual, practical seating for a living room, den, or media room.",Sectional plus ottoman shown | Good value piece for quick local pickup | Inspect fabric wear in person,,,
15,Red Upholstered Loveseat,Living Room,Living Room,1,$175 OBO,175,175,Available,Yes,No,7,assets/items/img_0513.jpg,"Red loveseat with rolled arms and skirted base. Compact two-seat option for a living room, bedroom, or office.",Traditional rolled-arm silhouette | Close-up photos included | All reasonable offers considered,,,
16,Black Cushioned Bar Stool,Chairs,Kitchen / Bar,1,$45 OBO,45,45,Available,Yes,No,3,assets/items/img_0599.jpg,Black cushioned bar stool with modern low-profile seat and metal frame. Useful for counter seating or a studio/workspace.,Single stool shown | Modern black finish | Quick pickup item,,,
17,Cream High-Back Upholstered Chair,Chairs,Bedroom,1,$95 OBO,95,95,Available,Yes,No,2,assets/items/img_0565.jpg,Cream upholstered high-back chair with subtle damask-style pattern and rolled arms. Formal accent seating in a neutral tone.,Neutral fabric | High-back profile | Inspect fabric condition in person,,,
18,Floral Wingback Accent Chair,Chairs,Bedroom / Living Room,1,$90 OBO,90,90,Available,Yes,No,4,assets/items/img_0516.jpg,Light floral upholstered accent chair with curved arms and shaped back. Soft traditional style for a reading corner or bedroom.,Light floral upholstery | Comfortable accent scale | Offer-friendly pricing,,,
19,Pair of Scroll Metal Bar Chairs,Chairs,Dining Area,1,$120 OBO,120,120,Available,Yes,No,5,assets/items/img_0619.jpg,"Pair of black metal scroll-back chairs with patterned upholstered seats. Good for a bar-height counter, breakfast area, or accent seating.",Quantity: 2 matching scroll chairs shown | Decorative metal frames | Seat condition shown in close-ups,,,
