Item #,Item Name,Category,Room / Area,Quantity,Suggested Price,Price Number,Extended Ask,Status,OBO?,Featured?,Photo Count,Main Photo,Description,Notes,Buyer / Sold To,Final Sold Price,Pickup Status
1,Dark Wood Bed Frame,Bedroom,Bedroom,1,$275 OBO,275,275,Available,Yes,No,3,assets/items/img_0535.jpg,Dark wood bed frame with carved posts and arched headboard/footboard styling. Traditional bedroom piece with substantial presence.,Dark wood frame | Carved post details | Confirm size in person,,,
2,Ornate King Bedroom Suite,Bedroom,Primary Bedroom,1,$800 OBO,800,800,Available,Yes,Yes,8,assets/items/img_0491.jpg,"Large coordinated king bedroom suite with carved wood styling, upholstered/nailhead headboard detail, matching dresser and bedside storage. Best for a buyer furnishing a full room at once.",King bed suite; corrected from earlier queen label | Suggested price is for the grouped suite; individual offers considered | Buyer pickup required; bring truck and loading help,,,
3,Ornate Marble-Top Nightstand,Bedroom,Bedroom,1,$125 OBO,125,125,Available,Yes,No,2,assets/items/img_0567.jpg,Dark ornate nightstand or side table with marble-look top and drawer/storage detail. Coordinates well with traditional furniture.,Marble-look top | Drawer shown open | Carved dark styling,,,
4,White Wicker Vanity / Nightstand with Mirror,Bedroom,Bedroom,1,$175 OBO,175,175,Available,Yes,No,6,assets/items/img_0536.jpg,"White wicker-style vanity or nightstand with drawers, glass-like top detail, and matching mirror. Light coastal/cottage style.",Drawer storage shown | Mirror included in photos | Good guest room or vanity piece,,,
5,Wood Bed Frame - Green Room,Bedroom,Bedroom,1,$225 OBO,225,225,Available,Yes,No,3,assets/items/img_0543.jpg,Wood bed frame with turned posts and curved headboard in a warm finish. Straightforward traditional bedroom furniture.,Turned post details | Curved headboard | Buyer pickup required,,,
6,Wood Dresser / Storage Chest,Bedroom,Bedroom,1,$175 OBO,175,175,Available,Yes,No,1,assets/items/img_0660.jpg,Wood dresser/storage chest shown with decorative items. Useful bedroom storage piece with traditional styling.,Dresser/storage piece | Decor on top not automatically included | Buyer pickup required,,,
7,Carved Upholstered Chaise Lounge,Living Room,Living Room,1,$225 OBO,225,225,Available,Yes,Yes,2,assets/items/img_0499.jpg,"Decorative chaise lounge with carved wood frame, rolled end, and patterned upholstery. Strong statement piece for a sitting room, bedroom, or entry space.",Traditional carved frame | Patterned fabric upholstery | Priced to invite offers,,,
8,Gray Sectional Sofa with Ottoman,Living Room,Living Room,1,$350 OBO,350,350,Available,Yes,Yes,4,assets/items/img_0528.jpg,"Gray sectional sofa with chaise-style section and matching ottoman. Casual, practical seating for a living room, den, or media room.",Sectional plus ottoman shown | Good value piece for quick local pickup | Inspect fabric wear in person,,,
9,Red Upholstered Loveseat,Living Room,Living Room,1,$175 OBO,175,175,Available,Yes,No,7,assets/items/img_0513.jpg,"Red loveseat with rolled arms and skirted base. Compact two-seat option for a living room, bedroom, or office.",Traditional rolled-arm silhouette | Close-up photos included | All reasonable offers considered,,,
10,Black Cushioned Bar Stool,Chairs,Kitchen / Bar,1,$55 OBO,55,55,Available,Yes,No,3,assets/items/img_0599.jpg,Black cushioned bar stool with modern low-profile seat and metal frame. Useful for counter seating or a studio/workspace.,Single stool shown | Modern black finish | Quick pickup item,,,
11,Cream High-Back Upholstered Chair,Chairs,Bedroom,1,$95 OBO,95,95,Available,Yes,No,2,assets/items/img_0565.jpg,Cream upholstered high-back chair with subtle damask-style pattern and rolled arms. Formal accent seating in a neutral tone.,Neutral fabric | High-back profile | Inspect fabric condition in person,,,
12,Floral Wingback Accent Chair,Chairs,Bedroom / Living Room,1,$90 OBO,90,90,Available,Yes,No,4,assets/items/img_0516.jpg,Light floral upholstered accent chair with curved arms and shaped back. Soft traditional style for a reading corner or bedroom.,Light floral upholstery | Comfortable accent scale | Offer-friendly pricing,,,
